,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
217,100 Thieves,bang,Logitech G Pro X Superlight Black,1000.0,800.0,0.32,256.0,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro Keyboard,Logitech G Pro X Headset
218,100 Thieves,Cryocells,Logitech G Pro X Superlight Magenta,1000.0,800.0,0.3,240.0,1.0,ZOWIE XL2546,1920x1080,Kurosun Ninja Speed,Wooting 60 HE,HyperX Cloud Stinger II
219,Top Esports,Sylvan,Logitech G Pro X Superlight White,1000.0,800.0,0.27,216.0,1.0,,,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,ASTRO A50
220,Top Esports,eko,ZOWIE EC2-CW,1000.0,800.0,0.32,256.0,1.0,,,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Corsair Void RGB Elite White
221,NOEZ FOXX,Fisker,ZOWIE EC2-C,1000.0,800.0,0.35,280.0,1.0,Lenovo Legion Y25-25,1920x1080,VAXEE PA FunSpark,SteelSeries Apex Pro TKL,Logitech G Pro X Headset
222,V,Meddo,Logitech G Pro X Superlight Black,1000.0,800.0,0.25,200.0,1.0,ZOWIE XL2546,1920x1080,,,SteelSeries Arctis Pro White
223,GoNext Esports,Zeek,Logitech G Pro X Superlight Magenta,1000.0,1000.0,0.305,305.0,1.0,ZOWIE XL2546,1440x1080,Lethal Gaming Gear Venus,Logitech G Pro X Keyboard,Logitech G Pro X Headset
224,Nongshim RedForce,iNTRO,Razer Deathadder V3 Pro Black,1000.0,400.0,0.43200000000000005,172.8,1.0,ZOWIE XL2546K,1920x1080,ZOWIE G-SR,Corsair K65 Rapidfire,Sennheiser GSP 600
225,ODG Esports Club,GodDead,Logitech G Pro X Superlight Black,1000.0,400.0,0.691,276.0,1.0,ZOWIE XL2546S,1920x1080,SteelSeries QcK+,Varmilo VA87M Beijing Opera,HyperX Cloud Revolver S
226,ODG Esports Club,TS,Logitech G Pro X Superlight White,1000.0,400.0,0.583,233.0,1.0,ASUS ROG XG258Q,1920x1080,ZOWIE G-SR,Logitech G915 TKL,Logitech G Pro X Headset
227,Crest Gaming Zst,Moothie,Razer Viper V3 Hyperspeed,1000.0,400.0,0.45,180.0,0.7,ZOWIE XL2546,1920x1080,X-raypad Equate,HyperX Alloy Origins Core,
228,Dsyre,Filu,Razer Deathadder V3 Pro White,4000.0,800.0,0.285,228.0,1.0,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2 Pro
229,Fire Flux Esports,qw1,ZOWIE EC2-CW,1000.0,400.0,0.69,276.0,1.0,ZOWIE XL2546K,1280x960,ESPTIGER LongTeng,Anne Pro 2,Logitech G Pro X Headset
230,Fire Flux Esports,Turko,Logitech G Pro X Superlight Black,1000.0,400.0,0.6,240.0,1.0,,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud II
231,Dragon Ranger Gaming,vo0kashu,Logitech G Pro X Superlight White,1000.0,800.0,0.21100000000000002,168.8,1.0,ZOWIE XL2546K,1280x960,SteelSeries QcK Heavy,Logitech G Pro Keyboard,Logitech G Pro X Headset
232,Free Agent,Rawkus,FinalMouse Starlight Pro,1000.0,800.0,0.4,320.0,1.0,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero XSoft,Ducky One 2 Mini,Sennheiser GAME ZERO
233,Free Agent,Cutler,Logitech G Pro X Superlight Black,1000.0,800.0,0.3,240.0,1.0,ZOWIE XL2546,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
234,Free Agent,delz1k,Logitech G Pro X Superlight Black,1000.0,400.0,0.72,288.0,1.0,ZOWIE XL2546K,1920x1080,VAXEE PA Black,HyperX Alloy FPS Pro,HyperX Cloud Flight
235,Free Agent,seb,Xtrfy M4 Miami Blue,1000.0,400.0,0.42,168.0,0.9,ZOWIE XL2540K,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro TKL,Sennheiser GAME ONE
236,Free Agent,Luzuh,Logitech G Pro X Superlight Black,1000.0,400.0,0.541,216.0,1.0,ZOWIE XL2540,1280x960,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
237,Free Agent,disk0,Logitech G Pro X Superlight Black,1000.0,400.0,0.525,210.0,1.0,Alienware AW2720HF,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
238,Free Agent,Texta,Logitech G Pro Gaming Mouse,1000.0,400.0,0.7,280.0,1.0,Alienware AW2521HF,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
239,Free Agent,BabyJ,Razer Deathadder V3 Pro Black,1000.0,400.0,0.46,184.0,0.9,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,HyperX Cloud II
240,Free Agent,Zik,Razer Viper Mini,1000.0,400.0,0.628,251.0,1.0,ZOWIE XL2546,1920x1080,Razer Gigantus V2,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro
241,Free Agent,L1NK,VAXEE XE Wireless Black,1000.0,800.0,0.24,192.0,1.0,ZOWIE XL2566K,1920x1080,VAXEE PB,Wooting 60 HE,HyperX Cloud II
242,Free Agent,luckeRRR,Razer Viper 8KHz,8000.0,800.0,0.39,312.0,1.0,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
243,Free Agent,Relyks,Logitech G Pro X Superlight Black,1000.0,400.0,0.79,316.0,1.0,ZOWIE XL2540,1920x1080,Artisan Hayate Otsu XSoft,HyperX Alloy FPS,HyperX Cloud II
244,Free Agent,ZexRow,Razer Viper V2 Pro Black,1000.0,800.0,0.314,251.2,1.0,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V2 TKL,Razer BlackShark V2
245,Free Agent,Drone,Logitech G Pro X Superlight Black,1000.0,800.0,0.34,251.2,1.0,ZOWIE XL2540,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
246,Free Agent,Will,Logitech G Pro X Superlight Black,1000.0,800.0,0.4,320.0,1.0,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Mid,Ducky One 2 TKL White,EPOS H6PRO White
247,Free Agent,SEIDER,Logitech G Pro X Superlight Black,1000.0,1600.0,0.15,240.0,1.0,,1280x960,Razer Gigantus V2,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
248,Free Agent,PROD,Logitech G Pro Wireless,1000.0,800.0,0.5,400.0,1.1,Alienware AW2518H,1920x1080,ZOWIE G-SR-SE Blue,Matrix x sinatraa Keyboard,HyperX Cloud II
249,Free Agent,v1xen,Logitech G Pro X Superlight Black,1000.0,800.0,0.45,360.0,1.0,AlienWare AW2518HF,,GIGABYTE AORUS AMP500,Cooler Master CK550 V2,HyperX Cloud Alpha
250,Free Agent,RECIDENT,FinalMouse Starlight-12,1000.0,800.0,0.25,200.0,,ZOWIE XL2546K,1920x1080,Razer Gigantus,Razer Huntsman TE,Razer BlackShark V2
251,Free Agent,GatsH,Razer Viper Ultimate,1000.0,400.0,0.4,160.0,1.0,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer BlackWidow V3 TKL,HyperX Cloud II
252,Free Agent,jannyXD,Razer Viper V2 Pro Black,1000.0,400.0,0.52,208.0,1.0,ZOWIE XL2546K,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2 Pro
253,Free Agent,N4RRATE,Logitech G Pro X Superlight Black,1000.0,1600.0,0.16,256.0,0.825,,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex 9 TKL,
254,Free Agent,Ange,Razer Deathadder V3 Pro Black,1000.0,1600.0,0.14,224.0,1.0,,1920x1080,Razer Acari,Razer Huntsman Mini,Razer BlackShark V2 Pro
255,Free Agent,Trick,Razer Viper V2 Pro Black,1000.0,800.0,0.305,244.0,1.0,,1920x1080,Razer Acari,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
256,Free Agent,psalm,Logitech G Pro X Superlight Black,1000.0,800.0,0.34,272.0,1.0,ZOWIE XL2546K,1920x1080,Artisan FX Hien Soft,Custom Keyboard,
257,Free Agent,Yacine,Logitech G Pro Wireless,1000.0,800.0,0.25,200.0,1.0,ZOWIE XL2546,1920x1080,QPAD FX 50,Custom Keyboard,HyperX Cloud II
258,Free Agent,vice,Logitech G Pro Wireless,1000.0,800.0,0.245,196.0,1.0,ZOWIE XL2546,1280x960,HyperX Fury S Speed Edition,Logitech G915 TKL,HyperX Cloud Revolver S
259,Free Agent,ngiN,Razer Deathadder V3 Pro Black,1000.0,800.0,0.244,195.2,1.0,ZOWIE XL2566K,1920x1080,VAXEE PA Summer22,Razer BlackWidow V3 Pro,HyperX Cloud II
260,Free Agent,jonba,Logitech G Pro X Superlight Black,1000.0,800.0,0.27,216.0,1.0,ZOWIE XL2540,1680x1050,ZOWIE G-SR-SE Blue,Razer Huntsman Mini,HyperX Cloud Alpha
261,Free Agent,bucher,Logitech G Pro X Superlight Black,1000.0,800.0,0.22,176.0,1.0,ZOWIE XL2566K,1280x960,Razer Gigantus V2,Wooting 60 HE,Logitech G Pro X Headset
262,Free Agent,steel,Razer Deathadder V3 Pro Black,1000.0,800.0,0.45,360.0,1.0,ZOWIE XL2546,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
263,Free Agent,Genghsta,Razer Deathadder V3 Pro White,1000.0,1600.0,0.115,184.0,1.0,ZOWIE XL2546,1920x1080,ZOWIE G-SR,HyperX Alloy FPS Pro,HyperX Cloud II
264,Free Agent,Doma,Logitech G Pro X Superlight Black,1000.0,800.0,0.35,280.0,0.75,ZOWIE XL2566K,1280x1024,VAXEE PA OUTSET,Razer BlackWidow V3 Pro,Logitech G Pro X Headset
265,Free Agent,AslaN,Razer Deathadder V3 Pro Black,1000.0,400.0,0.6,240.0,1.0,ZOWIE XL2546K,1920x1080,Corsair MM250,Corsair K65 TKL,Corsair HS80
266,Free Agent,penny,Logitech G Pro X Superlight Black,1000.0,800.0,0.35,280.0,1.0,,1920x1080,HyperX Fury S Pro,HyperX Alloy Elite,HyperX Cloud II
267,Free Agent,seven,Logitech G Pro X Superlight Black,1000.0,1600.0,0.25,400.0,1.0,Lenovo Legion Y25-25,1920x1080,Logitech G640 Original,,Logitech G Pro X Headset
268,Free Agent,Corey,Endgame Gear XM2we,1000.0,800.0,0.486,388.8,1.0,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Logitech G Pro X Headset
269,Free Agent,stellar,Logitech G Pro X Superlight White,1000.0,800.0,0.3,240.0,1.0,ZOWIE XL2546,1280x960,ZOWIE G-SR-SE Deep Blue,Higround Basecamp 65,HyperX Cloud II
270,Free Agent,s0m,Logitech G Pro X Superlight Red,1000.0,400.0,0.8,320.0,1.0,ZOWIE XL2546,1920x1080,SteelSeries QcK Large,Logitech G915 TKL,HyperX Cloud Alpha
271,Free Agent,Surf,Logitech G Pro X Superlight Magenta,1000.0,1600.0,0.175,320.0,1.0,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,Logitech G PRO X 2 Headset Black
272,Free Agent,Tacolilla,Logitech G Pro X Superlight Black,1000.0,800.0,0.47,376.0,1.0,ZOWIE XL2546K,1680x1050,VAXEE PA P22,Razer Huntsman TE,Logitech G Pro X Headset
273,Free Agent,xand,VAXEE XE Wireless White,1000.0,1600.0,0.25,400.0,0.9,ZOWIE XL2546K,1920x1080,VAXEE PA FunSpark V2,EPOMAKER SKYLOONG KS61,HyperX Cloud Alpha
274,Free Agent,Reita,VAXEE ZYGEN NP-01S Wireless Black,1000.0,1600.0,0.15,240.0,0.9,ZOWIE XL2546,1280x960,SteelSeries QcK Heavy,Logitech G915 TKL,Logitech G Pro X Headset
275,Free Agent,d3ffo,VAXEE ZYGEN NP-01,1000.0,800.0,0.51,408.0,1.0,ZOWIE XL2546,1280x960,VAXEE PA ZYGEN,Logitech G Pro Keyboard,Sennheiser GAME ZERO
276,Free Agent,murizzz,Logitech G Pro X Superlight Black,1000.0,800.0,0.45,360.0,0.82,AlienWare AW2518HF,1920x1080,VAXEE PA Black,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset
277,Free Agent,dicey,Logitech G Pro X Superlight Magenta,1000.0,800.0,0.18,144.0,1.0,ZOWIE XL2546K,1920x1080,Yuki Aim Oni Black,Ducky One 2 Mini,Sennheiser GAME ONE
278,Free Agent,babybay,G-Wolves Hati S+ 4K,1000.0,800.0,0.2,160.0,1.0,ZOWIE XL2546,1920x1080,Lethal Gaming Gear Saturn,Logitech G Pro X Keyboard,HyperX Cloud Alpha
279,Free Agent,runi,Logitech G Pro X Superlight Black,1000.0,800.0,0.3,240.0,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,,HyperX Cloud II
280,Free Agent,soulcas,G-Wolves Hati S+ 4K,4000.0,400.0,0.494,197.6,0.88,Alienware AW2521H,1920x1080,Endgame Gear EM-C Plus,Wooting 60 HE,HyperX Cloud II
281,Free Agent,dimasick,Razer Deathadder V3 Pro Black,1000.0,400.0,0.75,300.0,1.0,ZOWIE XL2546,1280x960,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud Alpha
282,Free Agent,Magnum,Razer Viper V2 Pro Black,1000.0,400.0,0.45399999999999996,181.6,0.9,AOC C24G1,1280x1024,SteelSeries QcK+,Fnatic miniSTREAK,HyperX Cloud II
283,Free Agent,Esperanza,Logitech G Pro X Superlight Black,1000.0,800.0,0.32,256.0,1.0,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
284,Free Agent,hype,Razer Deathadder V3 Pro Black,1000.0,400.0,0.55,220.0,1.0,ZOWIE XL2540,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
285,Free Agent,ZachaREEE,FinalMouse Starlight-12,1000.0,800.0,0.52,416.0,1.0,ASUS ROG SWIFT PG258Q,1920x1080,ZOWIE G-SR-SE Deep Blue,Varmilo VA87M Summit,Sennheiser GAME ONE
286,Free Agent,FNS,Logitech G Pro Wireless,1000.0,400.0,0.55,220.0,1.0,ZOWIE XL2546,1920x1080,Artisan FX Hien XSoft,Wooting 60 HE,HyperX Cloud II
287,Free Agent,gMd,Logitech G Pro X Superlight Black,1000.0,800.0,0.45,360.0,0.85,ZOWIE XL2540,1920x1080,Logitech G640 Original,Logitech G Pro Keyboard,Logitech G Pro Headset
288,Free Agent,AYRIN,Razer Viper V2 Pro Black,1000.0,800.0,0.3,240.0,1.0,ZOWIE XL2566K,1920x1080,,,
289,Free Agent,iDex,Razer Deathadder V3 Pro Black,1000.0,800.0,0.35,280.0,1.0,Alienware AW2521H,1920x1080,ZOWIE G-SR-SE Blue,Ducky Miya Pro Sakura,HyperX Cloud Alpha
290,Free Agent,BraveAF,Logitech G Pro X Superlight Black,1000.0,400.0,0.785,314.0,1.0,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Fnatic STREAK65 LP,Logitech G Pro X Headset
291,Free Agent,7ssk7,FinalMouse Starlight-12,1000.0,800.0,0.31,248.0,1.0,ASUS ROG SWIFT PG259QN,1600x900,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Sennheiser GAME ZERO
292,Free Agent,Ambi,Logitech G Pro X Superlight White,1000.0,400.0,0.41,164.0,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Corsair STRAFE,HyperX Cloud II
293,Free Agent,xanarchy,Razer Deathadder V3 Pro Black,1000.0,800.0,0.4325,346.0,0.7,ZOWIE XL2566K,1920x1080,VAXEE PA ZYGEN,Wooting 60 HE,Logitech G Pro X Headset
294,Free Agent,JoXJo,VAXEE OUTSET AX,1000.0,800.0,0.285,228.0,1.0,ZOWIE XL2546,,VAXEE PA ZYGEN,Corsair K70 RGB MK.2,
295,Free Agent,MOJJ,Logitech G Pro X Superlight Red,1000.0,400.0,0.6,240.0,1.0,ASUS ROG STRIX XG248Q,1920x1080,ZOWIE G-SR-SE Rouge,HyperX Alloy Origins,HyperX Cloud II
296,Free Agent,PoPiFresH,VAXEE OUTSET AX Funspark,1000.0,800.0,0.39,312.0,1.0,ZOWIE XL2566K,1920x1080,VAXEE PA FunSpark,Razer Huntsman Mini,HyperX Cloud II
297,Free Agent,lowel,Logitech G Pro X Superlight Black,1000.0,400.0,0.5660000000000001,226.4,1.0,ZOWIE XL2566K,1920x1080,Gamesense Radar,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
298,Free Agent,aproto,Razer Deathadder V3 Pro White,1000.0,800.0,0.29,232.0,1.0,ZOWIE XL2546K,1920x1080,SWIPE SP-FROST,Razer BlackWidow V3 TKL,HyperX Cloud II
299,Free Agent,AvovA,Logitech G Pro X Superlight Black,1000.0,800.0,0.33299999999999996,251.2,1.0,ZOWIE XL2546,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset
300,Free Agent,dgzin,Logitech G Pro X Superlight 2 Black,1000.0,400.0,0.3,120.0,1.0,ZOWIE XL2546K,1280x768,Lethal Gaming Gear Saturn Pro,SteelSeries Apex Pro TKL (2023),
301,Free Agent,heat,VAXEE XE Black,1000.0,800.0,0.4,320.0,1.0,Alienware AW2521HF,,VAXEE PA Eggie,Logitech G Pro Keyboard,HyperX Cloud II
302,Free Agent,clear,Razer Viper V3 Hyperspeed,1000.0,1600.0,0.125,200.0,0.7,,1920x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,beyerdynamic DT 770 Pro
303,Free Agent,ec1s,Logitech G Pro X Superlight Black,1000.0,800.0,0.314,251.2,1.0,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro,Logitech G Pro X Keyboard,HyperX Cloud II
304,Free Agent,derrek,Logitech G Pro X Superlight 2 Black,1000.0,800.0,0.36,288.0,0.9,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,Higround Basecamp 65,HyperX Cloud II
305,Free Agent,KRYPTIX,ZOWIE EC2-CW,1000.0,400.0,0.47100000000000003,188.4,0.8,ZOWIE XL2566K,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro
306,Free Agent,Wardell,Logitech G Pro X Superlight Black,1000.0,400.0,0.691,260.8,1.15,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
307,Free Agent,Marved,Razer Viper V2 Pro White,1000.0,800.0,0.306,244.8,1.0,ZOWIE XL2566K,1920x1080,Artisan Hayate Otsu Soft,Wooting 60 HE,Razer BlackShark V2
308,Free Agent,Kanpeki,Lamzu Atlantis 4K,1000.0,800.0,0.32,256.0,1.0,ZOWIE XL2546 Divina Pink,1920x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,Razer BlackShark V2 Pro
309,Free Agent,curry,ASUS ROG Harpe Ace,1000.0,1600.0,0.12,192.0,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,ASUS ROG Falchion Ace,Logitech G Pro X Headset
310,Free Agent,garnetS,Logitech G Pro X Superlight Red,1000.0,800.0,0.78,624.0,1.0,ZOWIE XL2546K,1920x1080,Artisan FX Hien Soft,Logitech G915 TKL White,HyperX Cloud II Gun Metal
311,Free Agent,Rb,Logitech G Pro X Superlight 2 Black,1000.0,800.0,0.35,280.0,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Razer BlackShark V2
312,Free Agent,neptuNo,Logitech G305,1000.0,800.0,0.3,240.0,1.0,ZOWIE XL2566K,1600x900,ZOWIE G-SR-SE Rouge,Ducky One 2 TKL,Logitech G Pro X Headset
313,Free Agent,jcStani,Lamzu Atlantis,,800.0,0.4,320.0,1.0,,1920x1080,Logitech G640 Original,Wooting 60 HE,Audio-Technica ATH-M50X
314,Free Agent,falltw,Razer Deathadder V3 Pro Black,1000.0,800.0,0.377,301.6,1.0,ZOWIE XL2566K,1280x960,SteelSeries QcK+,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro
315,Content Creator,JASONR,ZOWIE EC3-C,1000.0,800.0,0.32,256.0,1.0,ZOWIE XL2540,1920x1080,Razer Gigantus V2,Logitech G915,
316,Content Creator,Dizzy,ZOWIE ZA13-C,1000.0,800.0,0.35,280.0,1.0,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,
317,Content Creator,sinatraa,Logitech G Pro X Superlight White,1000.0,800.0,0.387,309.6,1.0,ZOWIE XL2546,1920x1080,Logitech G640 Original,Matrix x sinatraa Keyboard,JBL Quantum One
318,Content Creator,Horcus,Razer Viper Ultimate,1000.0,800.0,0.315,252.0,1.0,ZOWIE XL2546,1920x1080,GIGABYTE AORUS AMP500,Razer Huntsman Elite,HyperX Cloud II
319,Content Creator,brax,Logitech G Pro X Superlight Black,1000.0,400.0,0.55,220.0,1.0,ZOWIE XL2546S,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Sennheiser HD 600
320,Content Creator,Vorwenn,Logitech G Pro X Superlight Black,1000.0,800.0,0.4,320.0,1.0,ZOWIE XL2540K,1280x960,Artisan Ninja FX Zero XSoft,Razer Huntsman TE,HyperX Cloud Alpha S
321,Content Creator,Drakonz,Razer Viper Ultimate,1000.0,800.0,0.34600000000000003,274.8,1.0,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro TKL,HyperX Cloud Alpha
322,Solary,memset,Logitech G Pro X Superlight Black,1000.0,400.0,0.39,156.0,,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
323,Retired,mixwell,Logitech G703,1000.0,400.0,0.69,276.0,1.0,AOC AG251FZ2E,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
324,Riddle Order,Seoldam,Logitech G Pro X Superlight Red,1000.0,1600.0,0.17,272.0,0.95,ZOWIE XL2566K,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL (2023),Logitech G Pro X Wireless Headset
